DATE,EXBZUS
2010-01-01,1.7817
2010-02-01,1.8420
2010-03-01,1.7855
2010-04-01,1.7568
2010-05-01,1.8142
2010-06-01,1.8042
2010-07-01,1.7689
2010-08-01,1.7589
2010-09-01,1.7180
2010-10-01,1.6837
2010-11-01,1.7131
2010-12-01,1.6955
2011-01-01,1.6745
2011-02-01,1.6664
2011-03-01,1.6574
2011-04-01,1.5833
2011-05-01,1.6136
2011-06-01,1.5854
2011-07-01,1.5625
2011-08-01,1.5966
2011-09-01,1.7492
2011-10-01,1.7703
2011-11-01,1.7864
2011-12-01,1.8391
2012-01-01,1.7850
2012-02-01,1.7168
2012-03-01,1.7953
2012-04-01,1.8522
2012-05-01,1.9810
2012-06-01,2.0482
2012-07-01,2.0296
2012-08-01,2.0279
2012-09-01,2.0269
2012-10-01,2.0297
2012-11-01,2.0662
2012-12-01,2.0775
2013-01-01,2.0281
2013-02-01,1.9729
2013-03-01,1.9842
2013-04-01,2.0011
2013-05-01,2.0365
2013-06-01,2.1734
2013-07-01,2.2518
2013-08-01,2.3408
2013-09-01,2.2641
2013-10-01,2.1882
2013-11-01,2.2959
2013-12-01,2.3471
2014-01-01,2.3858
2014-02-01,2.3792
2014-03-01,2.3251
2014-04-01,2.2325
2014-05-01,2.2195
2014-06-01,2.2360
2014-07-01,2.2242
2014-08-01,2.2685
2014-09-01,2.3379
2014-10-01,2.4495
2014-11-01,2.5527
2014-12-01,2.6419
2015-01-01,2.6346
2015-02-01,2.8170
2015-03-01,3.1414
2015-04-01,3.0421
2015-05-01,3.0562
2015-06-01,3.1117
2015-07-01,3.2288
2015-08-01,3.5154
2015-09-01,3.9032
2015-10-01,3.8752
2015-11-01,3.7858
2015-12-01,3.8808
2016-01-01,4.0556
2016-02-01,3.9644
2016-03-01,3.6980
2016-04-01,3.5634
2016-05-01,3.5403
2016-06-01,3.4234
2016-07-01,3.2781
2016-08-01,3.2086
2016-09-01,3.2532
2016-10-01,3.1854
2016-11-01,3.3369
2016-12-01,3.3540
2017-01-01,3.1901
2017-02-01,3.1057
2017-03-01,3.1275
2017-04-01,3.1390
2017-05-01,3.2043
2017-06-01,3.2954
2017-07-01,3.1994
2017-08-01,3.1478
2017-09-01,3.1325
2017-10-01,3.1923
2017-11-01,3.2629
2017-12-01,3.295
2018-01-01,3.2115
2018-02-01,3.2507
2018-03-01,3.2790
2018-04-01,3.4089
2018-05-01,3.6316
2018-06-01,3.7710
2018-07-01,3.8221
2018-08-01,3.9333
2018-09-01,4.1087
2018-10-01,3.7611
2018-11-01,3.7860
2018-12-01,3.8834
2019-01-01,3.7356
2019-02-01,3.7244
2019-03-01,3.8407
2019-04-01,3.8974
2019-05-01,3.9915
2019-06-01,3.8557
2019-07-01,3.7785
2019-08-01,4.0220
2019-09-01,4.1195
2019-10-01,4.0825
2019-11-01,4.1558
2019-12-01,4.1045
