periodo;ITCR Brasil
1/1/2020;149
1/2/2020;155,1
1/3/2020;145,7
1/4/2020;139,2
1/5/2020;129,6
1/6/2020;125,5
1/7/2020;126,3
1/8/2020;126,2
1/9/2020;126,2
1/10/2020;126,4
1/11/2020;124,6
1/12/2020;124,6
1/1/2020;128,1
1/2/2020;132
1/3/2020;131,4
1/4/2020;130,4
1/5/2020;128,4
1/6/2020;121,1
1/7/2020;116,2
1/8/2020;112,6
1/9/2020;117,1
1/10/2020;121,5
1/11/2020;116,6
1/12/2020;118
1/1/2020;126
1/2/2020;134
1/3/2020;133,3
1/4/2020;136,8
1/5/2020;135,4
1/6/2020;133,8
1/7/2020;132,4
1/8/2020;129,7
1/9/2020;124,8
1/10/2020;117,9
1/11/2020;112,6
1/12/2020;107,9
1/1/2020;108,3
1/2/2020;101,9
1/3/2020;91,7
1/4/2020;94,6
1/5/2020;94,1
1/6/2020;92,4
1/7/2020;89,5
1/8/2020;81,7
1/9/2020;73,3
1/10/2020;74,1
1/11/2020;76,2
1/12/2020;85
1/1/2020;94,6
1/2/2020;102,2
1/3/2020;107,9
1/4/2020;104,2
1/5/2020;99
1/6/2020;99,3
1/7/2020;107,2
1/8/2020;108,3
1/9/2020;108,3
1/10/2020;109,3
1/11/2020;103,7
1/12/2020;105,4
1/1/2020;109,9
1/2/2020;109,2
1/3/2020;105,9
1/4/2020;101,8
1/5/2020;100,5
1/6/2020;98,9
1/7/2020;107
1/8/2020;109
1/9/2020;106,7
1/10/2020;104,6
1/11/2020;101,4
1/12/2020;99,8
1/1/2020;107,8
1/2/2020;109,1
1/3/2020;107,8
1/4/2020;101,5
1/5/2020;108,8
1/6/2020;115,6
1/7/2020;115,5
1/8/2020;117,7
1/9/2020;138,3
1/10/2020;137,4
1/11/2020;129,2
1/12/2020;127
1/1/2020;126,9
1/2/2020;127,4
1/3/2020;128
1/4/2020;127,8
1/5/2020;125,8
1/6/2020;123,4
1/7/2020;119,8
1/8/2020;134,2
1/9/2020;135,4
1/10/2020;135,3
1/11/2020;131,3
1/12/2020;129
1/1/2020;125,3
1/2/2020;119,8
1/3/2020;107,8
1/4/2020;99,4
1/5/2020;95,4
1/6/2020;104,3
1/7/2020;103,2
1/8/2020;100,6
1/9/2020;101,3
